tag,n_layer,n_embd,n_head,N_kaplan,N_total,best_val,best_step,tokens_at_best,epochs_at_best,flops_at_best,steps_run,final_train,lr,batch,seed,elapsed_s
s1,2,32,2,25472,31648,2.3332,3800,31129600,31.01,4.758e+12,4000,2.3335,0.0003,64,1337,23
s2,3,64,4,150080,162432,1.8927,4000,32768000,32.64,2.951e+13,4000,1.7487,0.0003,64,1337,29
s3,4,128,4,793344,818048,1.5673,4000,32768000,32.64,1.560e+14,4000,1.3405,0.0003,64,1337,38
s4,6,256,8,4739072,4788480,1.52,2100,17203200,17.14,4.892e+14,2700,1.1413,0.0003,64,1337,45
